"Axeptio Integration","Integración de Axeptio"
"Widget main settings","Ajustes principales del widget"
"Do you want to enable the widget?","¿Desea habilitar el widget?"
"Configure the information related to the integration of your Axeptio project here.","Configure aquí la información relacionada con la integración de su proyecto Axeptio."
"Project ID","ID del proyecto"
"Configuration","Configuración"
"Your Axeptio Settings","Su configuración de Axeptio"
"Yes, I enable the widget on my website.","Sí, activo el widget en mi sitio web."
"No, I do not enable the widget on my website.","No, no habilito el widget en mi sitio web."
"Validate","Validar"
"Please, enter a project ID.","Por favor, introduzca un ID de proyecto."
"The list of projects has been successfully retrieved!","¡La lista de proyectos se ha recuperado con éxito!"
"Dynamic (Axeptio based)","Dinámico (basado en Axeptio)"
"Widget customization","Personalización de widget"
"In this section, you can customize the header texts of the Axeptio widget.","En esta sección, puede personalizar los textos del encabezado del widget de Axeptio."
"Widget title","Título del widget"
"Widget sub-title","Subtítulo del widget"
"Widget description","Descripción del widget"
"Data sending","Envío de Datos"
"In this section, you can set whether or not you want to let Axeptio collect technical datas","En esta sección, puede configurar si desea permitir a Axeptio recopilar datos técnicos o no"
"Collect of data and errors by Axeptio","Recogida de datos y errores por Axeptio"
"By checking this box, I do not wish to send data/errors to the Axeptio plugin and do not want to contribute to the improvement of the plugin.","Al marcar esta casilla, no deseo enviar datos/errores al plugin Axeptio y no deseo contribuir a la mejora del plugin."
"How To Integrate Axeptio?","¿Cómo integrar Axeptio?"
"Axeptio Account","Cuenta Axeptio"
"Don't have a Axeptio account?","¿No tiene una cuenta de Axeptio?"
"You need an Axeptio account to finish the configuration of this module","Necesita una cuenta de Axeptio para completar la configuración de este módulo"
"I create an account now","Crear una cuenta ahora"
"Learn more","Más información"
"You have already a Axeptio account?","¿Ya tiene una cuenta de Axeptio?"
"Go to your personal dashboard to retrieve the project ID you want to use","Vaya a su panel de control personal para obtener la identificación del proyecto que desea utilizar"
"I login to my account","Iniciar sesión en mi cuenta"
"Default","Por defecto"
"We were unable to find your project or it appears that it has not yet been published.","No hemos podido encontrar su proyecto, o parece que aún no se ha publicado."
"If you are sure that your project exists, follow these steps:",""
"Go to the Axeptio interface.","Si está seguro de que su proyecto existe, siga estos pasos:"
"Publish your project.","Publique su proyecto."
"Come back here and refresh the configuration.","Vuelva aquí y actualice la configuración."
"If the problem persists, please feel free to consult","Si el problema persiste, no dudes en consultar"
"our help guide","nuestra guía de ayuda"
"Please enter an account ID","Por favor, ingrese un ID de cuenta"
"Enter your project ID","Ingrese su ID de proyecto"
"Cookie version","Versión de cookies"
"Save configuration","Guardar configuración"
