"Axeptio Integration","Axeptio Integration"
"Widget main settings","Paramètres principaux du widget"
"Do you want to enable the widget?","Voulez-vous activer le widget ?"
"Configure the information related to the integration of your Axeptio project here.", "Configurez ici les informations relatives à l'intégration de votre projet Axeptio."
"Project ID","ID du projet"
"Configuration","Configuration"
"Your Axeptio Settings","Votre configuration Axeptio"
"Yes, I enable the widget on my website.","Oui, j'active le widget sur mon site web."
"No, I do not enable the widget on my website.","Non, je n'active pas le widget sur mon site web."
"Validate","Valider"
"Please, enter a project ID.","Veuillez renseigner un ID projet."
"The list of projects has been successfully retrieved!","La liste des projets a bien été récupérée !"
"Dynamic (Axeptio based)","Dynamique (basé sur Axeptio)"
"Widget customization","Personnalisation du widget"
"In this section, you can customize the header texts of the Axeptio widget.","Dans cette section, vous pouvez personnaliser les textes de l'entête du widget Axeptio."
"Widget title","Titre du Widget"
"Widget sub-title","Sous-titre du widget"
"Widget description","Description du widget"
"Data sending","Envoie de données"
"In this section, you can set whether or not you want to let Axeptio collect technical datas","Dans cette section, vous pouvez choisir de permettre ou non à Axeptio de collecter des données techniques."
"Collect of data and errors by Axeptio","Collecte de données et d'erreurs par Axeptio"
"By checking this box, I do not wish to send data/errors to the Axeptio plugin and do not want to contribute to the improvement of the plugin.","En cochant cette case, je ne souhaite pas envoyer de données/erreurs au plugin Axeptio et ne souhaite pas contribuer à l'amélioration du plugin."
"How To Integrate Axeptio?","Comment intégrer Axeptio ?"
"Axeptio Account","Compte Axeptio"
"Don't have a Axeptio account?","Vous n'avez pas de compte Axeptio ?"
"You need an Axeptio account to finish the configuration of this module","Vous avez besoin d'un compte Axeptio pour terminer la configuration de ce module"
"I create an account now","Je crée un compte maintenant"
"Learn more","En savoir plus"
"You have already a Axeptio account?","Vous avez déjà un compte Axeptio ?"
"Go to your personal dashboard to retrieve the project ID you want to use","Accédez à votre tableau de bord pour récupérer l'identifiant du projet que vous souhaitez utiliser"
"I login to my account","Je me connecte à mon compte"
"Default","Défault"
"We were unable to find your project or it appears that it has not yet been published.","Nous n'avons pas pu trouver votre projet ou il semble qu'il ne soit pas encore publié."
"If you are sure that your project exists, follow these steps:","Si vous êtes sûr que votre projet existe, suivez ces étapes :"
"Go to the Axeptio interface.","Accédez à l'interface Axeptio."
"Publish your project.","Publiez votre projet."
"Come back here and refresh the configuration.","Revenez ici et actualisez la configuration."
"If the problem persists, please feel free to consult","Si le problème persiste, n'hésitez pas à consulter"
"our help guide","notre guilde d'aide"
"Please enter an account ID","Veuillez saisir un identifiant de compte"
"Enter your project ID","Entrez votre ID de projet"
"Cookie version","Version du cookie"
"Save configuration","Sauvegarder la configuration"
