"Axeptio Integration","Integrazione Axeptio"
"Widget main settings","Impostazioni principali del widget"
"Do you want to enable the widget?","Vuoi attivare il widget?"
"Configure the information related to the integration of your Axeptio project here.","Configurate qui le informazioni relative all'integrazione del vostro progetto Axeptio."
"Project ID","ID del progetto"
"Configuration","Configurazione"
"Your Axeptio Settings","Le tue impostazioni Axeptio"
"Yes, I enable the widget on my website.","Sì, attivo il widget sul mio sito web."
"No, I do not enable the widget on my website.","No, non abilito il widget sul mio sito web."
"Validate","Convalida"
"Please, enter a project ID.","Per favore, inserisci un ID progetto."
"The list of projects has been successfully retrieved!","L'elenco dei progetti è stato recuperato con successo!"
"Dynamic (Axeptio based)","Dinamico (basato su Axeptio)"
"Widget customization","Personalizzazione del widget"
"In this section, you can customize the header texts of the Axeptio widget.","In questa sezione è possibile personalizzare i testi dell'intestazione della sezione di WordPress nel widget Axeptio."
"Widget title","Titolo widget"
"Widget sub-title","Sottotitolo del widget"
"Widget description","Descrizione del widget"
"Data sending","Invio di Dati"
"In this section, you can set whether or not you want to let Axeptio collect technical datas","In questa sezione, puoi impostare se vuoi permettere a Axeptio di raccogliere dati tecnici o meno"
"Collect of data and errors by Axeptio","Raccolta di dati ed errori da parte di Axeptio"
"By checking this box, I do not wish to send data/errors to the Axeptio plugin and do not want to contribute to the improvement of the plugin.","Selezionando questa casella, non desidero inviare dati/errori al plugin Axeptio e non voglio contribuire al miglioramento del plugin."
"How To Integrate Axeptio?","Come integrare Axeptio?"
"Axeptio Account","Conto Axeptio"
"Don't have a Axeptio account?","Non hai un account Axeptio?"
"You need an Axeptio account to finish the configuration of this module","Hai bisogno di un account Axeptio per completare la configurazione di questo modulo"
"I create an account now","Creo un account ora"
"Learn more","Ulteriori informazioni"
"You have already a Axeptio account?","Hai già un account Axeptio?"
"Go to your personal dashboard to retrieve the project ID you want to use","Accedi al tuo cruscotto personale per recuperare l'ID del progetto che vuoi utilizzare"
"I login to my account","Accedo al mio account"
"Default","Predefinita"
"We were unable to find your project or it appears that it has not yet been published.","Non siamo riusciti a trovare il vostro progetto o sembra che non sia ancora stato pubblicato."
"If you are sure that your project exists, follow these steps:","Se siete certi che il vostro progetto esiste, seguite la seguente procedura:"
"Go to the Axeptio interface.","Accedere all'interfaccia di Axeptio."
"Publish your project.","Pubblicate il vostro progetto."
"Come back here and refresh the configuration.","Tornare qui e aggiornare la configurazione."
"If the problem persists, please feel free to consult","Se il problema persiste, non esitate a consultare la"
"our help guide","nostra guida"
"Please enter an account ID","Inserisci un ID account"
"Enter your project ID","Inserisci l'ID del tuo progetto"
"Cookie version","Versione biscotto"
"Save configuration","Salva configurazione"
