"Axeptio Integration","Axeptio-integratie"
"Widget main settings","Widget hoofdinstellingen"
"Do you want to enable the widget?","Wilt u de widget inschakelen?"
"Configure the information related to the integration of your Axeptio project here.","Configureer hier de informatie met betrekking tot de integratie van je Axeptio project."
"Project ID","Project-ID"
"Configuration","Configuratie"
"Your Axeptio Settings","Uw Axeptio-instellingen"
"Yes, I enable the widget on my website.","Ja, ik activeer de widget op mijn website."
"No, I do not enable the widget on my website.","Nee, ik schakel de widget niet in op mijn website."
"Validate","Valideren"
"Please, enter a project ID.","Voer een project-ID in."
"The list of projects has been successfully retrieved!","De lijst met projecten is succesvol opgehaald!"
"Dynamic (Axeptio based)","Dynamisch (gebaseerd op Axeptio)"
"Widget customization","Vernieuw projecten"
"In this section, you can customize the header texts of the Axeptio widget.","In deze sectie kun je de kopteksten van de WordPress sectie in de Axeptio widget aanpassen."
"Widget title","Widget titel"
"Widget sub-title","Widget subtitel"
"Widget description","Widget beschrijving"
"Data sending","Gegevensverzending"
"In this section, you can set whether or not you want to let Axeptio collect technical datas","In deze sectie kunt u instellen of u Axeptio technische gegevens wilt laten verzamelen of niet"
"Collect of data and errors by Axeptio","Verzamelen van gegevens en fouten door Axeptio"
"By checking this box, I do not wish to send data/errors to the Axeptio plugin and do not want to contribute to the improvement of the plugin.","Door dit vakje aan te vinken, wil ik geen gegevens/fouten naar de Axeptio plugin sturen en niet bijdragen aan de verbetering van de plugin."
"How To Integrate Axeptio?","Hoe Axeptio te integreren?"
"Axeptio Account","Axeptio-account"
"Don't have a Axeptio account?","Heeft u geen Axeptio-account?"
"You need an Axeptio account to finish the configuration of this module","U heeft een Axeptio-account nodig om de configuratie van deze module te voltooien"
"I create an account now","Ik maak nu een account aan"
"Learn more","Meer informatie"
"You have already a Axeptio account?","Heeft u al een Axeptio-account?"
"Go to your personal dashboard to retrieve the project ID you want to use","Ga naar uw persoonlijke dashboard om de project-ID op te halen die u wilt gebruiken"
"I login to my account","Ik log in op mijn account"
"Default","Standaard"
"We were unable to find your project or it appears that it has not yet been published.","We konden je project niet vinden, of het lijkt erop dat het nog niet is gepubliceerd."
"If you are sure that your project exists, follow these steps:","Als je zeker weet dat je project bestaat, volg dan deze stappen:"
"Go to the Axeptio interface.","Ga naar de Axeptio interface."
"Publish your project.","Publiceer je project."
"Come back here and refresh the configuration.","Keer hier terug en vernieuw de configuratie."
"If the problem persists, please feel free to consult","Als het probleem zich blijft voordoen, aarzel dan niet om"
"our help guide","onze helpgids te raadplegen."
"Please enter an account ID","Voer een account-ID in"
"Enter your project ID","Voer uw project-ID in"
"Cookie version","Cookie-versie"
"Save configuration","Configuratie opslaan"
